"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0,7567.98351710827,149039.515291643,150981.729373857,307589.228182609,1808493.93227403,1799111.06048318,135071.842996531,3728559.23287092
"2",0,0.01,7566.67323974119,148236.574226291,157461.200237984,313264.447704016,1805816.54575463,1786679.03339386,140913.822679738,3718829.96338303
"3",0,0.02,7565.35588569642,147433.911269205,163932.185802791,318931.452957692,1803616.87884825,1774243.80343231,146729.857532637,3709041.50202701
"4",0,0.03,7564.03142205853,146631.530926483,170394.659274346,324590.221622888,1801384.90846783,1761806.15490588,152519.614351566,3699194.51442923
"5",0,0.04,7562.69981589011,145829.437746629,176848.593972748,330240.731535268,1799120.72214665,1749366.87383754,158282.762711195,3689289.67432818
"6",0,0.05,7561.36103423493,145027.636320747,183293.963335984,335882.960690966,1796824.41180192,1736926.74778586,164018.975045673,3680172.50837045
"7",0,0.06,7560.01504412078,144226.131282743,189730.740923852,341516.887250715,1794496.07372846,1724486.56566399,169727.926729244,3671797.95145562
"8",0,0.07,7558.66181256266,143424.927309521,196158.90042196,347142.489544044,1792135.80859105,1712047.11755736,175409.296156332,3663358.94278595
"9",0,0.08,7557.30130656599,142624.029121173,202578.415645793,352759.746073532,1789743.72141524,1699609.19454048,181062.764821019,3654856.02518504
"10",0,0.09,7555.93349312969,141823.441481168,208989.260544854,358368.635519152,1787319.92157669,1687173.58849266,186688.017395889,3646289.75078026
"11",0,0.1,7554.55833924964,141023.169196537,215391.409206876,363969.136742663,1784864.52278912,1675399.83431977,192284.741810213,3637660.68089441
"12",0,0.11,7553.17581192195,140223.217118053,221784.835862117,369561.228792092,1782377.64309069,1663726.54605345,197852.629327402,3628969.38593391
"13",0,0.12,7551.78587814639,139423.590140408,228169.51488772,375144.890906274,1779859.40482899,1652047.04588856,203391.374621721,3620216.4452738
"14",0,0.13,7550.38850493001,138624.293202387,234545.420812157,380720.102519474,1777309.93464452,1640362.08569506,208900.675854199,3611402.44713941
"15",0,0.14,7548.98365929052,137825.331287036,240912.528319755,386286.843266081,1774729.36345273,1628672.41964254,214380.234747717,3602527.98848484
"16",0,0.15,7547.57130826014,137026.709421829,247270.812255287,391845.092985376,1772117.8264246,1616978.80402723,219829.756661211,3593593.67486826
"17",0,0.16,7546.15141888915,136228.432678821,253620.247628664,397394.831726375,1769475.46296574,1605281.99709767,225248.950662976,3584600.12032418
"18",0,0.17,7544.72395824986,135430.506174813,259960.80961969,402936.039752753,1766802.41669407,1593582.75887888,230637.529603011,3575547.94723251
"19",0,0.18,7543.28889344025,134632.935071494,266292.47358291,408468.697547844,1764098.83541606,1581881.85099534,236020.609551886,3566437.78618475
"20",0,0.19,7541.84619158817,133835.724575593,272615.215052544,413992.785819725,1761364.87110146,1570180.03649264,241451.283568412,3557270.27584713
"21",0,0.2,7540.39581985516,133038.879939015,278929.009747498,419508.285506368,1758600.67985671,1558478.07965812,246855.209702184,3548046.06282096
"22",0,0.21,7538.93774544063,132242.40645898,285233.833576465,425015.177780886,1755806.42189685,1546776.74584035,252232.073095222,3538765.80150002
"23",0,0.22,7537.471935586,131446.309478148,291529.662643125,430513.444056859,1752982.26151603,1535076.80126769,257581.562052531,3529430.1539253
"24",0,0.23,7535.99835757903,130650.59438475,297816.473251408,436003.065993737,1750128.36705668,1523379.01286599,262903.368120945,3520039.78963695
"25",0,0.24,7534.51697875802,129855.266612699,304094.241910878,441484.025502336,1747244.91087716,1511684.14807546,268197.186167237,3510595.38552364
"26",0,0.25,7533.02776651633,129060.331641709,310362.945342186,446956.304750412,1744332.0693182,1499992.97466688,273462.71445546,3501097.62566932
"27",0,0.26,7531.53068830685,128265.794997398,316622.560482626,452419.88616833,1741390.02266783,1488306.26055713,278699.654723472,3491547.2011975
"28",0,0.27,7530.0257116465,127471.662251386,322873.064491783,457874.752454815,1738590.22006536,1476624.7736243,283907.712258614,3481944.81011309
"29",0,0.28,7528.51280412098,126677.939021393,329114.434757272,463320.886582787,1736340.26128804,1464949.28152223,289086.595972485,3472291.15714183
"30",0,0.29,7526.99193338946,125884.630971326,335346.648900588,468758.271805304,1734059.14809725,1453280.55149488,294236.018474793,3463679.095555
"31",0,0.3,7525.46306718942,125091.743811354,341569.684783029,474186.891661573,1731746.99989141,1441619.35019027,299355.696146231,3455410.24073443
"32",0,0.31,7523.92617334151,124299.283297985,347783.520511745,479606.729983072,1729403.94034243,1430119.05103603,304445.349210333,3447083.56984614
"33",0,0.32,7522.38121975461,123507.255234131,353988.134445872,485017.770899757,1727030.09737617,1419102.73771079,309504.701804291,3438699.67623353
"34",0,0.33,7520.82817443087,122715.665469164,360183.505202767,490419.998846362,1724625.60315133,1408086.10081412,314533.482048675,3430259.16122183
"35",0,0.34,7519.26700547087,121924.519898971,366369.611664355,495813.398568797,1722190.59403694,1397069.87999283,319531.422116028,3421762.63398386
"36",0,0.35,7517.69768107888,121133.824465992,372546.432983577,501197.955130648,1719725.21058839,1386054.81568789,324498.258298297,3413210.71140304
"37",0,0.36,7516.12016956822,120343.585159258,378713.948590938,506573.653919764,1717229.59752201,1375041.648955,329433.731073059,3404604.01793368
"38",0,0.37,7514.53443936666,119553.808014415,384872.138201171,511940.480654952,1714703.90368816,1364031.12128439,334337.585168518,3395943.18545856
"39",0,0.38,7512.94045902194,118764.499113743,391020.981820005,517298.421392769,1712148.28204295,1353023.97442001,339209.56962722,3387228.85314387
"40",0,0.39,7511.3381972074,117975.664586165,397160.459751039,522647.462534412,1709562.88961855,1342020.95017819,344049.437868468,3378461.66729175
"41",0,0.4,7509.72762272767,117187.310607247,403290.552602743,527987.590832718,1706947.88749203,1331022.7902658,348856.947749384,3369642.28119015
"42",0,0.41,7508.10870452444,116399.44339919,409411.241295547,533318.793399261,1704303.44075282,1320030.23609809,353750.087949259,3360771.3549605
"43",0,0.42,7506.48141168238,115612.069230809,415522.507069068,538641.057711559,1701629.71846888,1309044.02861617,358645.596205432,3351849.55540284
"44",0,0.43,7504.84571343509,114825.194417507,421624.331489436,543954.371620378,1698926.89365134,1298064.90810447,363512.083629038,3342877.55583891
"45",0,0.44,7503.20157917117,114038.825321239,427716.696456746,549258.723357156,1696195.14321794,1287093.61400789,368349.276740882,3333856.03595284
"46",0,0.45,7501.54897844043,113252.968350458,433799.584212625,554554.101541524,1693434.64795504,1276130.88474915,373156.905995084,3324785.68162994
